,Titular,URL,Usuari,Entrada,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Categoria,Karma,Data Submissió
31," Joseph-Armand Bombardier, el inventor que desafió a la nieve con sus vehículos oruga ",https://www.heraldo.es/noticias/sociedad/2021/04/10/joseph-armand-bombardier-el-inventor-que-desafio-a-la-nieve-con-sus-vehiculos-oruga-1483828.html,correcorrecorre,"Tras fabricar, en 1922 y con solo 15 años, el primer prototipo de una motonieve, J-A Bombardier tuvo que esperar casi otros 40 para diseñar la versión definitiva: su Ski-Doo. Años durante los que inventó todo tipo de vehículos propulsados por su innovador sistema de transmisión de oruga para desplazarse sobre el terreno nevado y sobre cualquier otro.",124,2224,7,59,65,1,cultura,428,10-04-21 23:02
32," ""¡Sanidad pública, no privada!"": El grito que ha dejado con esta cara al consejero de Salud de Madrid ",https://www.huffingtonpost.es/entry/consejero-salud-madrid-gritos-sanidad-publica_es_60718a4ac5b6c795e153ffae,Yorga77,"Enrique Ruiz Escudero, consejero de Salud de Madrid y número dos en la lista del PP para las elecciones de la Comunidad de Madrid del próximo 4 de mayo, ha visitado este sábado el Wizink Center, uno de los puntos de vacunación masiva de la región.  Allí, antes del comienzo de las preguntas de la prensa, Escudero ha vivido un momento que le ha dejado con cara de verdadera incomodidad cuando dos mujeres le han gritado dos lemas en favor de la Sanidad pública: ”¡La Sanidad pública, no la privada! ¡Viva! ¡Viva la Sanidad pública!”.",761,3987,110,284,477,11,actualidad,467,11-04-21 10:12
33, ¿De qué vive tu vecino? ,https://stories.lavanguardia.com/economia/20210411/37666/de-que-vive-tu-vecino,Yago69,"Mapa donde se muestra la renta total para cada sección censal y el porcentaje de los ingresos que proviene del salario, las pensiones, el capital, el subsidio de desempleo y otras prestaciones. Se puede ver que crecen las desigualdades: en las áreas más pobres el 52% de los ingresos son subsidios; en las más ricas el 30% son rentas del capital.",202,8187,96,110,92,1,actualidad,448,11-04-21 10:15
34," Ruth Matilda Anderson, la fotógrafa que mostró Galicia al mundo ",https://www.elespanol.com/quincemil/articulos/cultura/ruth-matilda-anderson-la-fotografa-que-mostro-galicia-al-mundo,pinaveta,La historia de una fotógrafa que inmortalizó la vida y las costumbres de la Galicia de hace 100 años en fotografías de incalculable valor.,170,2041,9,69,101,0,Galicia,424,11-04-21 09:03
35, Los 10 puertos ciclistas más duros del mundo ,https://www.brujulabike.com/10-puertos-ciclistas-duros-mundo/,Larpeirán,"Repasamos parte de la historia del ciclismo y le añadimos parte del ciclismo más recóndito y desconocido. Hoy listamos 10 puertos ciclistas que son sencillamente espectaculares. Comenzamos en territorio nacional. En pleno corazón de Asturias está uno de los puertos más duros del mundo. El Angliru, con una distancia de más de 12 kilómetros en los que salvamos más de 1200 metros de desnivel con una pendiente media de más del 10%. Suelo en muy buenas condiciones y muy poquito tráfico para un puerto que ya es mítico.",151,5163,56,80,71,2,ocio,514,11-04-21 08:32
36," Pablo Iglesias responde a José Bono en laSexta : ""Esa indecencia engrandece aún más a Anguita"" ",https://www.lasexta.com/programas/sexta-noche/noticias/pablo-iglesias-responde-a-la-critica-de-jose-bono-a-anguita-en-lasexta-noche-esa-indecencia-engrandece-aun-mas-el-ejemplo-de-julio_2021041160729c3e61e8270001b719d4.html,imagosg,"Tenía de Iglesias un mejor concepto en lo intelectual, y Anguita me parecía intelectualmente más pobre. José Bono, alertando del, asegura, ""peligro de la extrema izquierda"" en Madrid.  Menos los que votan a Podemos, toda España está más tranquila con Iglesias fuera del Gobierno""",598,6834,187,247,351,10,actualidad,438,11-04-21 09:37
37, Una nueva técnica revolucionaria produce objetos de vidrio moldeados por inyección ,https://ecoinventos.com/glassomer/,Izaga,"El proceso comienza con pequeños gránulos de polímero, cada uno de los cuales tiene diminutas partículas de vidrio de sílice dispersas en su interior. Estos gránulos se vierten en una máquina de moldeo por inyección estándar que los funde y luego inyecta el polímero fundido en un molde. Una vez que el polímero se ha enfriado y endurecido, el artículo se expulsa del molde. En este punto, sigue pareciendo que está hecho de plástico normal. Sin embargo, después de lavarlo con agua y meterlo en un horno a 600 ºC, todo el polímero se elimina.",189,2300,23,92,97,0,cultura,421,11-04-21 09:28
38, BBVA endurece por segunda vez en 6 meses las condiciones a sus clientes de no pagar comisiones ,https://www.eleconomista.es/empresas-finanzas/noticias/11150758/04/21/BBVA-endurece-los-requisitos-de-las-cuentas-para-evitar-comisiones.html,mariasabugo,"El grupo ha empezado a comunicar a los usuarios su nueva política para las cuentas corrientes, que entrará en vigor a partir del próximo 15 de junio, y que cobrará una comisión de hasta 160 euros al año a los que tengan menos relación con el banco.",399,4238,125,153,246,1,actualidad,411,11-04-21 09:16
39, Inspección consigue que 112.000 trabajadoras pasen de temporales a indefinidas con una sola carta enviada a las empresas ,https://www.elsaltodiario.com/laboral/inspeccion-trabajo-consigue-112.000-trabajadores-pasen-temporales-indefinidos-carta,Esteban_Rosador,"Esta ha sido la tercera campaña del Ministerio de Trabajo desde 2018 para detectar contratación eventual fraudulenta, la más exitosa desde 2018.",704,1696,134,294,410,3,actualidad,383,11-04-21 09:24
40, Héroes del Silencio: la gloria y el traumático final de un grupo rompedor ,https://elpais.com/cultura/2021-04-11/heroes-del-silencio-la-gloria-y-el-traumatico-final-de-un-grupo-rompedor.html?outputType=amp&ssm=TW_CM&__twitter_impression=true,Carapedo,Una  biografía y un documental desbrozan el auge y la caída de una banda impetuosa y distinta a los 25 años de su disolución.,240,5705,111,109,131,0,cultura,374,11-04-21 08:45
41, Isaac Asimov. La última pregunta ,http://www.fis.puc.cl/~jalfaro/fiz1111/charla/laultimapregunta.pdf,Waskachu,"La última pregunta se formuló por primera vez, medio en broma, el 21 de mayo de 2061, en momentos en que la humanidad (también por primera vez) se bañó en luz. La pregunta llegó como resultado de una apuesta por cinco dólares hecha entre dos hombres que bebían cerveza, y sucedió de esta manera:",416,9841,105,222,194,2,ocio,361,11-04-21 02:18
42, Reglas y consejos para realizar copias de seguridad en Linux ,https://www.linuxadictos.com/reglas-consejos-copias-seguridad-linux.html,mr_b,"Existen muchas amenazas para tus datos. Y aunque el malware no es tan frecuente para sistemas GNU/Linux, eso no significa que no exista riesgo de ransomware. Además de eso, puede haber cualquier tipo de error de software que corrompa los datos, que un disco duro falle, incendios, inundaciones, caídas, cortes del suministro eléctrico, etc. Por eso, deberías pensar en hacer copias de seguridad para que estos problemas no te pillen desarmado y cuentes con un respaldo para poder recuperar toda esa información (o la mayoría de ella).",114,2632,36,54,60,0,tecnología,363,10-04-21 18:14
43, El mensaje oculto del Mago de OZ ,https://www.youtube.com/watch?v=jwB8RVvJax0,Trigonometrico,"Películas de las que hablaremos;  Tomasín en el reino de Oz  (1925) Larry Semon, USA - El mago de Oz (1939) Victor Fleming, USA - The Muppets' Wizard of Oz (2005) Kirk R. Thatcher, USA - Turkish The Wizard of Oz (1971) Tunç Basaran, Turquía - Ozu no mahôtsukai (1982)  Fumihiko Takayama, John Danylkiw, Japón - Return to OZ (1985) La de Disney, USA",130,4412,16,78,52,15,ocio,358,10-04-21 19:20
